statistic,sample,rep,B11,Mg24,Mg25,Al27,Ca44,Sr86,Sr87,Sr88,Ba138
std,LN1_A,5,1.8554454613994042e-05,0.0008418730263874449,0.0009329147020411981,2.870092638353447e-05,0.024563868898726433,3.719246387420188e-05,9.796198319023471e-06,4.028191953420187e-05,1.3888630749316208e-07
std,LN3_A,0,3.424919394995985e-05,0.002287198766103723,0.002335989368692539,1.6086073669388184e-05,0.04481477089068304,8.7351745776838e-05,2.050006321836006e-05,7.526885576004202e-05,1.8256635900902545e-07
std,LN3_A,1,3.052880025788403e-05,0.002246834347310427,0.002334506273143798,5.1232601399651345e-05,0.043975794108430236,0.00010103920935819604,2.329993300988211e-05,8.43020156780009e-05,2.0828974089949801e-07
std,LN4_A,0,3.518849853119419e-05,0.004117747634358945,0.004276108112747771,3.9519292280895307e-05,0.04839069564375188,0.00010490156530085664,2.0295608794107026e-05,7.545713442914388e-05,1.5233064365916966e-07
std,LN4_A,1,3.0300210802470018e-05,0.003722377791587161,0.0040101753258416075,4.938565798650277e-05,0.05116326639926241,0.0001260757515882362,2.4094962618816672e-05,9.722072244386289e-05,1.6331190232312948e-07
std,LN5_A,0,4.59186834203476e-05,0.003330029309693519,0.0035061930159004644,3.2774829092737696e-05,0.055396505242022706,0.00010658649689064977,2.268763002560527e-05,9.105146126337956e-05,1.8145220465467756e-07
std,LN5_A,1,4.291660198169132e-05,0.0036959348175296465,0.0039623889385031145,4.269092353229441e-05,0.03548796565151895,9.72672934072327e-05,2.0345439386326794e-05,8.726891973901755e-05,1.954620313030362e-07
std,JF2-A_A,0,2.969077904433115e-05,0.002033924265755832,0.0021024010321877475,3.618066333524467e-05,0.046964308516961886,6.953318335088915e-05,2.041727009152384e-05,7.459441832393154e-05,2.933298812556567e-07
std,JF2-A_A,1,2.994102430924775e-05,0.002046461021252204,0.0022227821534523116,4.467939571128604e-05,0.052004097385683894,8.873395433637615e-05,2.043530743160849e-05,7.248256660654147e-05,3.0395337046573483e-07
std,C3_A,0,2.222548549114289e-05,0.002037830228637355,0.0020919484331684535,1.3159246848714167e-05,0.030022846732900704,0.00018932670664706546,0.0002711299472244946,0.0001810661699570447,5.83522354066056e-07
