Item,SRM,Value,Uncertainty,Uncertainty_Type,Unit,GeoReM_bibcode,Reference,M,g/g,g/g_err,mol/g,mol/g_err
SiO2,NIST614,72.1,0.9,95%CL,%m/m,GeoReM 5211,Jochum et al 2011,60.0843,0.721,0.009000000000000001,0.01199980693791889,0.00014978954568830796
CaO,NIST614,11.9,0.2,95%CL,%m/m,GeoReM 5211,Jochum et al 2011,56.077400000000004,0.11900000000000001,0.002,0.0021220670002532215,3.566499160089448e-05
Li,NIST614,1.69,0.09,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,6.941,1.69e-06,9e-08,2.4348076646016423e-07,1.2966431349949575e-08
Be,NIST614,0.753,0.051,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,9.012182,7.53e-07,5.0999999999999993e-08,8.355357226474122e-08,5.659006886456576e-09
B,NIST614,1.49,0.19,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,10.811,1.49e-06,1.9e-07,1.3782258810470817e-07,1.757469244288225e-08
F,NIST614,6.2,,,ug/g,GeoReM 5211,Jochum et al 2011,18.9984032,6.2e-06,,3.2634321604459895e-07,
Mg,NIST614,33.8,1.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,24.305,3.3799999999999995e-05,1.8999999999999998e-06,1.3906603579510386e-06,7.817321538778028e-08
P,NIST614,11.4,3.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,30.973761,1.1400000000000001e-05,3.9e-06,3.680534630586192e-07,1.2591302683584342e-07
S,NIST614,291.0,66.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,32.065,0.000291,6.6e-05,9.075315764852644e-06,2.0583190394511153e-06
Cl,NIST614,102.0,84.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,35.453,0.000102,8.4e-05,2.8770484867289083e-06,2.369334047894395e-06
K,NIST614,30.0,1.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,39.0983,3e-05,1e-06,7.672967878398805e-07,2.557655959466268e-08
Sc,NIST614,0.74,,,ug/g,GeoReM 5211,Jochum et al 2011,44.95591,7.4e-07,,1.646057214724382e-08,
Ti,NIST614,3.61,0.25,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,47.867,3.6099999999999997e-06,2.5e-07,7.541730210792404e-08,5.222804855119393e-09
V,NIST614,1.01,0.04,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,50.9415,1.01e-06,4e-08,1.9826663918416223e-08,7.852144126105435e-10
Cr,NIST614,1.19,0.12,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,51.9961,1.19e-06,1.2e-07,2.288633185950485e-08,2.307865397597127e-09
Mn,NIST614,1.42,0.07,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,54.938049,1.42e-06,7e-08,2.584729574215495e-08,1.274162466162568e-09
