Date: "11:43:01 29/03/2019"

Cycle,Timestamp,C(13),Mode,Na(23),Mode,Mg(24),Mode,Mg(25),Mode,Al(27),Mode,Si(29),Mode,Ca(43),Mode,Ca(44),Mode,Mn(55),Mode,Zn(66),Mode,Sr(86),Mode,Sr(88),Mode,Ba(137),Mode,Ba(138),Mode,Th(232),Mode,U(238),Mode,Th(248),Mode
78,314.37499,48986.01,1,37175996.90,2,15384.14,1,1204.03,1,3242796.06,1,2360616.64,1,72532.59,1,1252168.60,1,24875.59,1,860.99,1,7628.01,1,53121.28,1,4666.94,1,27887.07,1,26845.88,1,25256.25,1,55.25,1

79,315.47499,43824.38,1,32796041.74,2,13915.67,1,1831.15,1,3142100.88,1,2206621.11,1,68356.54,1,1157867.13,1,21198.37,1,1911.36,1,8437.27,1,58967.20,1,3456.73,1,28887.79,1,28668.24,1,31997.04,1,00.00E00,1

80,316.57499,42845.52,1,36642146.71,2,15784.30,1,1204.03,1,3085009.70,1,2109311.93,1,84203.89,1,1082300.75,1,23749.52,1,860.99,1,5118.51,1,55791.64,1,4935.88,1,26763.48,1,26624.48,1,26460.79,1,00.00E00,1

81,317.67499,43156.97,1,33264523.80,2,13681.62,1,2600.42,1,3143152.26,1,2076415.91,1,65882.28,1,1118798.68,1,20414.31,1,1159.51,1,7982.63,1,55573.38,1,3109.37,1,24797.28,1,27055.45,1,28009.73,1,00.00E00,1

82,318.77499,44758.76,1,34748351.70,2,12160.37,1,1446.51,1,2914764.89,1,2071191.89,1,67931.16,1,1091057.43,1,23217.09,1,1100.92,1,7491.62,1,50427.57,1,4790.21,1,28062.63,1,24165.45,1,24093.63,1,00.00E00,1

83,319.87499,40843.40,1,33948347.72,2,11605.48,1,1396.35,1,2800981.37,1,1967227.21,1,64945.26,1,1117044.34,1,20880.92,1,860.99,1,6609.65,1,51766.92,1,3271.84,1,24656.84,1,24793.67,1,25372.19,1,42.92,1

84,320.97499,46271.62,1,33577722.23,2,15572.89,1,2190.70,1,2914704.39,1,2026477.93,1,66541.36,1,1026123.25,1,22783.35,1,1116.95,1,5309.45,1,52888.06,1,4902.27,1,26131.48,1,24049.93,1,23222.62,1,00.00E00,1

85,322.07499,51745.09,1,31493754.54,2,13696.72,1,1806.06,1,2853468.59,1,1985009.19,1,68472.36,1,1054797.32,1,19221.82,1,1175.54,1,7246.12,1,50893.99,1,3871.34,1,27430.61,1,26427.41,1,24530.30,1,00.00E00,1

86,323.17499,44135.84,1,30140680.43,2,14259.19,1,602.01,1,2838878.36,1,2135350.23,1,63416.60,1,1052642.64,1,22224.16,1,1258.19,1,8119.02,1,49578.21,1,4089.85,1,26886.37,1,26741.98,1,24821.65,1,00.00E00,1

87,324.27499,38085.08,1,33760423.94,2,15535.14,1,1638.83,1,2850846.50,1,1971146.20,1,64562.04,1,997279.38,1,21298.57,1,1340.84,1,7700.75,1,50776.31,1,2750.80,1,24235.53,1,24981.09,1,25040.80,1,00.00E00,1

88,325.37499,47651.04,1,32305388.94,2,15384.14,1,2533.53,1,3186936.67,1,2108813.07,1,71220.55,1,1127039.40,1,24118.24,1,1100.92,1,7609.83,1,55821.60,1,4207.51,1,27430.61,1,27789.38,1,24111.68,1,42.92,1

89,326.47499,46049.14,1,32811701.11,2,12994.60,1,2073.63,1,2811073.23,1,2039038.78,1,69405.25,1,1042347.57,1,20623.14,1,1399.43,1,7937.16,1,50536.69,1,6868.95,1,24709.51,1,24813.18,1,25935.46,1,00.00E00,1

90,327.57499,49364.26,1,32405867.23,2,11960.31,1,2433.19,1,2873108.52,1,2042112.43,1,65484.31,1,1052866.00,1,19896.46,1,703.72,1,8019.00,1,52858.11,1,3787.30,1,25218.60,1,25200.95,1,26618.38,1,00.00E00,1

91,328.67499,49987.27,1,31040978.30,2,12039.58,1,1471.60,1,2670068.61,1,1852662.03,1,63721.91,1,951830.06,1,21066.03,1,1002.23,1,7373.42,1,47274.09,1,3019.72,1,24569.07,1,22237.87,1,23674.09,1,00.00E00,1

92,329.77499,49453.26,1,31291504.32,2,12183.02,1,2240.87,1,2541641.85,1,1827186.73,1,62907.06,1,924530.49,1,19663.17,1,621.07,1,8091.74,1,43417.09,1,3490.35,1,22322.12,1,21252.64,1,22756.81,1,00.00E00,1

93,330.87499,47740.04,1,31313686.49,2,12530.30,1,1780.98,1,2689249.93,1,1860885.34,1,61407.95,1,994121.43,1,19847.51,1,1207.62,1,7018.81,1,47567.18,1,3406.31,1,23849.33,1,24521.42,1,24298.43,1,00.00E00,1

94,331.97499,47161.56,1,25826426.36,2,17237.74,1,1588.66,1,2566830.26,1,1883378.11,1,61749.04,1,922171.07,1,18945.69,1,554.46,1,6655.11,1,50675.76,1,3826.52,1,22585.42,1,20048.48,1,19535.84,1,00.00E00,1

95,333.07499,42578.57,1,26465603.69,2,10216.42,1,1663.91,1,2442471.89,1,1678724.25,1,59698.37,1,920523.09,1,18845.49,1,869.01,1,7437.07,1,44045.99,1,3131.78,1,23779.11,1,21086.72,1,22054.51,1,00.00E00,1

